domanda;risp_A;risp_B;risp_C;risp_corretta;pti
L’obbligo di segnalazione del trattamento in aree extra-agricole frequentate dalla popolazione;non è necessario se il trattamento viene effettuato fra le ore 0.00 e le ore 4.00, ai sensi del D. Lgs 150 del 2012;è sempre necessario;non è necessario in quanto non vengono trattate piante edibili;B;3
Una irroratrice utilizzata esclusivamente per trattamenti con prodotti fitosanitari ad uso professionale in aree extra agricole;deve essere sottoposta a controllo funzionale;deve essere sottoposta a una taratura ogni 4 mesi;deve essere sottoposta a una taratura settimanale nel periodo di massimo impiego;A;3
Nel caso in cui un imprenditore agricolo debba effettuare trattamenti con prodotti fitosanitari ad uso professionale in aree extra agricole di proprietà comunale:;può utilizzare prodotti fitosanitari registrati solo su colture agricole;deve utilizzare i DPI in base alle indicazioni di pericolo riportate sull’etichetta del prodotto fitosanitario utilizzato;deve registrare i trattamenti effettuati sul registri dei trattamenti della propria azienda agricola solo nel caso in cui abbia utilizzato mezzi propri;B;3
I trattamenti con prodotti fitosanitari ad uso professionale in aree extra agricole possono essere effettuati:;solo da personale in possesso del certificato di utilizzatore professionale;solo da imprenditori agricoli e dipendenti di aziende agricole in possesso del certificato di utilizzatore professionale;solo da personale dipendente di aziende non agricole, ma operanti in settori per cui è necessario l’utilizzo di prodotti fitosanitari, in in possesso del certificato di utilizzatore professionale;A;3
Ai sensi del D. Lgs 150/2012 chi è esentato dalla compilazione del registro dei trattamenti?;Colui che utilizza prodotti fitosanitari esclusivamente per il trattamento delle derrate alimentari;Colui che utilizza prodotti fitosanitari esclusivamente in orti e giardini familiari il cui raccolto è destinato al consumo proprio;L’imprenditore agricolo che utilizza prodotti fitosanitari esclusivamente su colture orticole e frutticole e che ha un un fatturato annuo inferiore ai 7.000 euro;B;3
Ai sensi del D. Lgs 150/2012 un consulente può compilare il registro dei trattamenti?;Sì, previa comunicazione alla Regione;Sì, ma il registro dei trattamenti deve essere firmato dal titolare dell’azienda;Sì, solo nel caso in cui il consulente sia dipendente di un CAA e il CAA abbia notificato il fatto alla ASL di riferimento;C;3
In caso di trattamento con prodotti fitosanitari ad uso professionale effettuato da un conto terzi, quale delle seguenti affermazioni non è vera?;Il registro dei trattamenti può essere compilato dal conto terzista;Il registro dei trattamenti deve essere sottoscritto dal conto terzista;Il registro dei trattamenti deve essere conservato presso l’azienda che conduce i terreni;B;3
Un Comune, in caso faccia effettuare a una ditta privata dei trattamenti con prodotti fitosanitari ad uso professionale nelle aree di sua competenza, deve dotarsi di registro dei trattamenti?;No, il registro deve essere tenuto dalla ditta committente;No, ma deve comunicare preventivamente all’ASL la data e il luogo in cui viene effettuato il trattamento, nonché il prodotto fitosanitario utilizzato, i riferimenti della ditta committente e il nominativo del responsabile del cantiere;Si;C;3
Sono esentati dai controlli periodici funzionali i seguenti macchinari utilizzati esclusivamente per trattamenti con prodotti fitosanitari in aree extra agricole:;irroratrici portatili e spalleggiate, azionate dall’operatore, con serbatoio in pressione e dotate di pompa a leva manuale;irroratrici a polverizzazione per pressione senza ventilatore;irroratrici portatili e spalleggiate, azionate dall’operatore, a motore;A;2
Quale delle seguenti affermazioni, relative a irrorazioni con prodotti fitosanitari in aree frequentate dalla popolazione o da gruppi vulnerabili, è vera:;è vietato utilizzare prodotti fitosanitari con tempo di rientro superiore alle 48 ore;è vietato utilizzare prodotti fitosanitari ad uso professionale;possono effettuare trattamenti con prodotti fitosanitari ad uso professionale solo le ditte specializzate in giardinaggio e disinfestazione;A;2
Alcuni prodotti fitosanitari ad uso professionale possono essere impiegati per trattamenti di zone non agricole?;Sì, sempre;No;Solo quando è specificamente indicato in etichetta;C;3
Se un utilizzatore professionale utilizza prodotti fitosanitari in modo difforme da quanto è riportato in etichetta, può subire delle decurtazioni del Pagamento Unico?;No;Sì, in quanto si configura come violazione della condizionalità;No, però è punito con una sanziona amministrativa che va da un minimo di 500 euro a un massimo di 1.500 euro;B;3
Per evitare che insorgano fenomeni di resistenza a seguito di ripetuti trattamenti con fungicidi devo:;usare la dose minima del fungicida aumentando il numero di trattamenti;usare la dose massima del fungicida diminuendo il numero di trattamenti;tenere conto della classificazione del fungicida sviluppata dal FRAC;C;2
Il Sistema di Qualità Nazionale di Produzione Integrata (SQNPI):;certifica che la produzione è stata ottenuta in conformità a norme tecniche di produzione integrata;certifica che il prodotto in commercio è privo di residui di prodotti fitosanitari;certifica che la produzione è stata ottenuta in conformità a norme stabilite dai vari OCM;A;2
Quale fra i seguenti gruppi di fungicidi ha un maggiore rischio di selezionare ceppi fungini a loro resistenti?;QoI;IBE;Ditiocarbammati;A;3
Il fosetil alluminio è un:;nematocida;fungicida;insetticida;B;3
Esistono subspecie di Bacillus thuringiensis in grado di contenere le popolazioni di Tetranychus urticæ?;sì, alcuni ceppi della subspecie kurstaki;tutti i ceppi della subspecie aiazawai;no;C;2
Le solfoniluree sono una famiglia chimica di;insetticidi;diserbanti;acaricidi;B;3
I fungicidi a base di rame sono pericolosi per l’ambiente?;No, infatti sono autorizzati in agricoltura biologica;Sì, infatti il rame è una sostanza attiva candidata alla sostituzione;Danno problemi di fitotossicità solo per i cereali autunno vernini nel caso si accumulino nel terreno;B;3
